year,state,county,FIPS,candidate,party,candidatevotes,totalvotes,relative_votes
2012,Alabama,Marshall,1095,Mitt Romney,republican,25867.0,32566,80.41721071939315
2012,Alabama,Mobile,1097,Barack Obama,democrat,78760.0,174864,45.354816789804964
2012,Alabama,Mobile,1097,Mitt Romney,republican,94893.0,174864,54.645183210195036
2012,Alabama,Monroe,1099,Barack Obama,democrat,4914.0,10708,46.11919286719849
2012,Alabama,Monroe,1099,Mitt Romney,republican,5741.0,10708,53.88080713280151
2012,Alabama,Montgomery,1101,Barack Obama,democrat,63085.0,101924,62.20357533746808
2012,Alabama,Montgomery,1101,Mitt Romney,republican,38332.0,101924,37.796424662531926
2012,Alabama,Morgan,1103,Barack Obama,democrat,13439.0,49323,27.522015154618067
2012,Alabama,Morgan,1103,Mitt Romney,republican,35391.0,49323,72.47798484538194
2012,Alabama,Perry,1105,Barack Obama,democrat,4568.0,6099,75.2057951926243
2012,Alabama,Perry,1105,Mitt Romney,republican,1506.0,6099,24.7942048073757
2012,Alabama,Pickens,1107,Barack Obama,democrat,4455.0,9611,46.50798621985594
2012,Alabama,Pickens,1107,Mitt Romney,republican,5124.0,9611,53.49201378014406
2012,Alabama,Pike,1109,Barack Obama,democrat,6035.0,14107,43.11330190027147
2012,Alabama,Pike,1109,Mitt Romney,republican,7963.0,14107,56.88669809972853
2012,Alabama,Randolph,1111,Barack Obama,democrat,3078.0,10398,29.87769365171811
2012,Alabama,Randolph,1111,Mitt Romney,republican,7224.0,10398,70.12230634828188
2012,Alabama,Russell,1113,Barack Obama,democrat,10500.0,18879,55.916498029609116
2012,Alabama,Russell,1113,Mitt Romney,republican,8278.0,18879,44.083501970390884
2012,Alabama,St. Clair,1115,Barack Obama,democrat,5801.0,35148,16.654225999081305
2012,Alabama,St. Clair,1115,Mitt Romney,republican,29031.0,35148,83.34577400091871
2012,Alabama,Shelby,1117,Barack Obama,democrat,20051.0,92507,21.91677506093762
2012,Alabama,Shelby,1117,Mitt Romney,republican,71436.0,92507,78.08322493906238
2012,Alabama,Sumter,1119,Barack Obama,democrat,5421.0,7027,77.36549165120594
2012,Alabama,Sumter,1119,Mitt Romney,republican,1586.0,7027,22.634508348794064
2012,Alabama,Talladega,1121,Barack Obama,democrat,13905.0,33373,41.944436065277074
2012,Alabama,Talladega,1121,Mitt Romney,republican,19246.0,33373,58.055563934722926
2012,Alabama,Tallapoosa,1123,Barack Obama,democrat,6319.0,18829,33.764360138925994
2012,Alabama,Tallapoosa,1123,Mitt Romney,republican,12396.0,18829,66.235639861074
2012,Alabama,Tuscaloosa,1125,Barack Obama,democrat,32048.0,78590,41.194920047303206
2012,Alabama,Tuscaloosa,1125,Mitt Romney,republican,45748.0,78590,58.8050799526968
2012,Alabama,Walker,1127,Barack Obama,democrat,6557.0,28521,23.24517867271696
2012,Alabama,Walker,1127,Mitt Romney,republican,21651.0,28521,76.75482132728305
2012,Alabama,Washington,1129,Barack Obama,democrat,2976.0,8778,34.06203502346343
2012,Alabama,Washington,1129,Mitt Romney,republican,5761.0,8778,65.93796497653656
2012,Alabama,Wilcox,1131,Barack Obama,democrat,4868.0,6551,74.35466625935544
2012,Alabama,Wilcox,1131,Mitt Romney,republican,1679.0,6551,25.64533374064457
2012,Alabama,Winston,1133,Barack Obama,democrat,1286.0,9714,13.398624713481974
2012,Alabama,Winston,1133,Mitt Romney,republican,8312.0,9714,86.60137528651802
